
## Effective Options (single)
- mode: zlink-only
- runs: 1
- duration_seconds: 5
- latency_seconds: 5
- timeout_seconds: 120
- sndtimeo_ms: 200
- recvtimeo_ms: 200
- hwm: 1000
- sndhwm: 1000
- rcvhwm: 1000
- io_threads: 0
- xpub_nodrop: 1
- patterns: PAIR,PUBSUB,DEALER_DEALER,DEALER_ROUTER,ROUTER_ROUTER
- transports: tcp,ws,wss,tls
- msg_sizes: 64,256,1024,65536,131072,262144
- build_dir: /home/hep7/project/kairos/zlink-perf-regression-bisect/core/build/bin

## PATTERN: PAIR
  > Benchmarking zlink for PAIR...
### Transport: tcp
| 256B   | Throughput |   2189.94 Kmsg/s |
| 256B   | Latency    |          0.48 ms |
| 1024B  | Throughput |    837.74 Kmsg/s |
| 1024B  | Latency    |          0.86 ms |
| 65536B | Throughput |     24.51 Kmsg/s |
| 65536B | Latency    |         29.71 ms |
| 131072B | Throughput |     13.15 Kmsg/s |
| 131072B | Latency    |         54.90 ms |
| 262144B | Throughput |      6.84 Kmsg/s |
| 262144B | Latency    |        104.65 ms |

## PATTERN: ROUTER_ROUTER
  > Benchmarking zlink for ROUTER_ROUTER...
### Transport: tcp
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3687.06 Kmsg/s |
| 64B    | Latency    |          0.03 ms |
| 256B   | Throughput |   2357.25 Kmsg/s |
| 256B   | Latency    |          0.28 ms |
| 1024B  | Throughput |   1256.38 Kmsg/s |
| 1024B  | Latency    |          0.54 ms |
| 65536B | Throughput |     93.46 Kmsg/s |
| 65536B | Latency    |          7.26 ms |
| 131072B | Throughput |     51.22 Kmsg/s |
| 131072B | Latency    |         12.93 ms |
| 262144B | Throughput |     29.03 Kmsg/s |
| 262144B | Latency    |         22.35 ms |
  > Benchmarking zlink for ROUTER_ROUTER...
### Transport: ws
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   2911.31 Kmsg/s |
| 64B    | Latency    |         49.87 ms |
| 256B   | Throughput |   2021.44 Kmsg/s |
| 256B   | Latency    |         52.18 ms |
| 1024B  | Throughput |    951.39 Kmsg/s |
| 1024B  | Latency    |         24.51 ms |
| 65536B | Throughput |     46.26 Kmsg/s |
| 65536B | Latency    |         19.62 ms |
| 131072B | Throughput |     30.46 Kmsg/s |
| 131072B | Latency    |         22.68 ms |
| 262144B | Throughput |     18.01 Kmsg/s |
| 262144B | Latency    |         37.99 ms |
  > Benchmarking zlink for ROUTER_ROUTER...
### Transport: wss
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   2879.02 Kmsg/s |
| 64B    | Latency    |         97.80 ms |
| 256B   | Throughput |   1673.39 Kmsg/s |
| 256B   | Latency    |         64.99 ms |
| 1024B  | Throughput |    585.62 Kmsg/s |
| 1024B  | Latency    |         23.62 ms |
| 65536B | Throughput |     18.18 Kmsg/s |
| 65536B | Latency    |         48.09 ms |
| 131072B | Throughput |     10.56 Kmsg/s |
| 131072B | Latency    |         74.66 ms |
| 262144B | Throughput |      5.58 Kmsg/s |
| 262144B | Latency    |        135.96 ms |
  > Benchmarking zlink for ROUTER_ROUTER...
### Transport: tls
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3724.23 Kmsg/s |
| 64B    | Latency    |          9.27 ms |
| 256B   | Throughput |   2097.15 Kmsg/s |
| 256B   | Latency    |          0.34 ms |
| 1024B  | Throughput |    896.52 Kmsg/s |
| 1024B  | Latency    |          0.80 ms |
| 65536B | Throughput |     24.86 Kmsg/s |
| 65536B | Latency    |         29.00 ms |
| 131072B | Throughput |     13.52 Kmsg/s |
| 131072B | Latency    |         53.39 ms |
| 262144B | Throughput |      6.92 Kmsg/s |
| 262144B | Latency    |        103.37 ms |

Saved result file: /home/hep7/project/kairos/zlink-perf-regression-bisect/core/bench/with_zmq/results/single/report/perf_linux_20260329_155434.txt
