=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
| 262144B | Latency    |        154.61 ms |        164.93 ms |    -6.67% |

--- Pattern: dealer_router ---

## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    910.87 Kmsg/s |    980.84 Kmsg/s |    +7.68% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +7.19% |
| 256B   | Throughput |    898.60 Kmsg/s |    984.51 Kmsg/s |    +9.56% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +8.79% |
| 1024B  | Throughput |    889.13 Kmsg/s |    945.07 Kmsg/s |    +6.29% |
| 1024B  | Latency    |          0.11 ms |          0.11 ms |    +5.98% |
| 65536B | Throughput |    172.99 Kmsg/s |    159.05 Kmsg/s |    -8.06% |
| 65536B | Latency    |          0.58 ms |          0.63 ms |    -8.90% |
| 131072B | Throughput |     75.18 Kmsg/s |     71.33 Kmsg/s |    -5.12% |
| 131072B | Latency    |          1.33 ms |          1.40 ms |    -5.42% |
| 262144B | Throughput |     28.31 Kmsg/s |     32.68 Kmsg/s |   +15.41% |
| 262144B | Latency    |          3.52 ms |          3.06 ms |   +13.14% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    933.97 Kmsg/s |   1026.99 Kmsg/s |    +9.96% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +9.13% |
| 256B   | Throughput |    930.02 Kmsg/s |   1017.35 Kmsg/s |    +9.39% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +8.66% |
| 1024B  | Throughput |    922.79 Kmsg/s |    977.49 Kmsg/s |    +5.93% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |    +5.67% |
| 65536B | Throughput |    215.55 Kmsg/s |    171.87 Kmsg/s |   -20.26% |
| 65536B | Latency    |          0.46 ms |          0.58 ms |   -25.53% |
| 131072B | Throughput |    103.58 Kmsg/s |     71.61 Kmsg/s |   -30.87% |
| 131072B | Latency    |          0.96 ms |          1.40 ms |   -44.73% |
| 262144B | Throughput |     35.79 Kmsg/s |     31.58 Kmsg/s |   -11.75% |
| 262144B | Latency    |          2.79 ms |          3.16 ms |   -13.32% |

--- Pattern: router_router ---

## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    842.23 Kmsg/s |    952.12 Kmsg/s |   +13.05% |
| 64B    | Latency    |          0.12 ms |          0.10 ms |   +11.59% |
| 256B   | Throughput |    832.47 Kmsg/s |    954.58 Kmsg/s |   +14.67% |
| 256B   | Latency    |          0.12 ms |          0.10 ms |   +12.84% |
| 1024B  | Throughput |    812.08 Kmsg/s |    923.55 Kmsg/s |   +13.73% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +12.13% |
| 65536B | Throughput |    164.23 Kmsg/s |    160.53 Kmsg/s |    -2.25% |
| 65536B | Latency    |          0.61 ms |          0.62 ms |    -2.35% |
| 131072B | Throughput |     70.18 Kmsg/s |     71.29 Kmsg/s |    +1.58% |
| 131072B | Latency    |          1.42 ms |          1.40 ms |    +1.60% |
| 262144B | Throughput |     32.10 Kmsg/s |     33.93 Kmsg/s |    +5.69% |
| 262144B | Latency    |          3.10 ms |          2.94 ms |    +5.06% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    843.65 Kmsg/s |    936.43 Kmsg/s |   +11.00% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +9.99% |
| 256B   | Throughput |    847.70 Kmsg/s |    948.38 Kmsg/s |   +11.88% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |   +10.69% |
| 1024B  | Throughput |    838.12 Kmsg/s |    948.01 Kmsg/s |   +13.11% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +11.66% |
| 65536B | Throughput |    221.42 Kmsg/s |    170.62 Kmsg/s |   -22.94% |
| 65536B | Latency    |          0.45 ms |          0.59 ms |   -29.94% |
| 131072B | Throughput |     81.28 Kmsg/s |     72.54 Kmsg/s |   -10.75% |
| 131072B | Latency    |          1.23 ms |          1.38 ms |   -12.06% |
| 262144B | Throughput |     37.54 Kmsg/s |     33.38 Kmsg/s |   -11.10% |
| 262144B | Latency    |          2.66 ms |          2.99 ms |   -12.70% |

--- Pattern: pubsub ---

## PATTERN: MULTI_PUBSUB
  > Benchmarking libzmq for MULTI_PUBSUB...
  > Benchmarking zlink for MULTI_PUBSUB...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   6563.48 Kmsg/s |   6195.01 Kmsg/s |    -5.61% |
| 64B    | Latency    |       1507.02 ms |        554.14 ms |   +63.23% |
| 256B   | Throughput |   6243.99 Kmsg/s |   5476.16 Kmsg/s |   -12.30% |
| 256B   | Latency    |        527.64 ms |        762.44 ms |   -44.50% |
| 1024B  | Throughput |   3873.62 Kmsg/s |   4224.22 Kmsg/s |    +9.05% |
| 1024B  | Latency    |        353.15 ms |        376.94 ms |    -6.74% |
| 65536B | Throughput |    232.92 Kmsg/s |    202.09 Kmsg/s |   -13.24% |
| 65536B | Latency    |         72.21 ms |        109.76 ms |   -52.00% |
| 131072B | Throughput |     97.97 Kmsg/s |    102.31 Kmsg/s |    +4.42% |
| 131072B | Latency    |        127.66 ms |        127.05 ms |    +0.48% |
| 262144B | Throughput |     37.28 Kmsg/s |     39.03 Kmsg/s |    +4.69% |
| 262144B | Latency    |        300.83 ms |        292.60 ms |    +2.73% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   7413.63 Kmsg/s |   6120.98 Kmsg/s |   -17.44% |
| 64B    | Latency    |         15.45 ms |         14.91 ms |    +3.47% |
| 256B   | Throughput |   6606.77 Kmsg/s |   5752.40 Kmsg/s |   -12.93% |
| 256B   | Latency    |          6.00 ms |          7.53 ms |   -25.49% |
| 1024B  | Throughput |   3895.66 Kmsg/s |   3976.11 Kmsg/s |    +2.06% |
| 1024B  | Latency    |          5.07 ms |          6.43 ms |   -26.91% |
| 65536B | Throughput |    332.59 Kmsg/s |    368.26 Kmsg/s |   +10.72% |
| 65536B | Latency    |         22.44 ms |         20.42 ms |    +9.01% |
| 131072B | Throughput |    158.42 Kmsg/s |    163.83 Kmsg/s |    +3.42% |
| 131072B | Latency    |         47.09 ms |         46.05 ms |    +2.22% |
| 262144B | Throughput |     63.44 Kmsg/s |     60.94 Kmsg/s |    -3.94% |
| 262144B | Latency    |        118.41 ms |        124.21 ms |    -4.90% |

--- Pattern: stream ---

## PATTERN: MULTI_STREAM
  > Benchmarking libzmq for MULTI_STREAM...
  > Benchmarking zlink for MULTI_STREAM...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    400.13 Kmsg/s |    401.44 Kmsg/s |    +0.33% |
| 64B    | Latency    |         25.27 ms |         25.08 ms |    +0.78% |
| 256B   | Throughput |    402.75 Kmsg/s |    388.84 Kmsg/s |    -3.45% |
| 256B   | Latency    |         25.07 ms |         25.70 ms |    -2.50% |
| 1024B  | Throughput |    376.22 Kmsg/s |    373.75 Kmsg/s |    -0.66% |
| 1024B  | Latency    |         26.70 ms |         26.82 ms |    -0.44% |
| 65536B | Throughput |              N/A |     73.67 Kmsg/s |       N/A |
| 65536B | Latency    |              N/A |        133.74 ms |       N/A |
| 131072B | Throughput |              N/A |     36.58 Kmsg/s |       N/A |
| 131072B | Latency    |              N/A |        265.62 ms |       N/A |
| 262144B | Throughput |      8.00 Kmsg/s |     16.24 Kmsg/s |  +102.97% |
| 262144B | Latency    |       1147.77 ms |        552.78 ms |   +51.84% |

## Failures
- MULTI_STREAM libzmq tcp 65536B: no_data_rc_2
- MULTI_STREAM libzmq tcp 131072B: no_data_rc_2
