=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
| 1024B  | Throughput |    373.82 Kmsg/s |    372.62 Kmsg/s |    -0.32% |
| 1024B  | Latency    |         23.81 ms |         26.93 ms |   -13.09% |
| 65536B | Throughput |              N/A |     66.83 Kmsg/s |       N/A |
| 65536B | Latency    |              N/A |        146.96 ms |       N/A |
| 131072B | Throughput |              N/A |     33.80 Kmsg/s |       N/A |
| 131072B | Latency    |              N/A |        286.19 ms |       N/A |
| 262144B | Throughput |      6.82 Kmsg/s |     16.06 Kmsg/s |  +135.43% |
| 262144B | Latency    |       1246.35 ms |        575.09 ms |   +53.86% |

## Failures
- MULTI_STREAM libzmq tcp 65536B: no_data_rc_2
- MULTI_STREAM libzmq tcp 131072B: no_data_rc_2
