=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    878.95 Kmsg/s |    956.89 Kmsg/s |    +8.87% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +8.21% |
| 256B   | Throughput |    871.98 Kmsg/s |    981.84 Kmsg/s |   +12.60% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |   +10.32% |
| 1024B  | Throughput |    871.29 Kmsg/s |    960.22 Kmsg/s |   +10.21% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |    +9.32% |
| 65536B | Throughput |    161.29 Kmsg/s |    154.60 Kmsg/s |    -4.15% |
| 65536B | Latency    |          0.62 ms |          0.65 ms |    -4.31% |
| 131072B | Throughput |     69.92 Kmsg/s |     67.40 Kmsg/s |    -3.60% |
| 131072B | Latency    |          1.43 ms |          1.48 ms |    -3.74% |
| 262144B | Throughput |     31.55 Kmsg/s |     31.71 Kmsg/s |    +0.51% |
| 262144B | Latency    |          3.15 ms |          3.14 ms |    +0.38% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    946.61 Kmsg/s |   1035.76 Kmsg/s |    +9.42% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +8.69% |
| 256B   | Throughput |    937.80 Kmsg/s |   1036.11 Kmsg/s |   +10.48% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +9.58% |
| 1024B  | Throughput |    906.08 Kmsg/s |    629.44 Kmsg/s |   -30.53% |
| 1024B  | Latency    |          0.11 ms |          0.16 ms |   -43.90% |
| 65536B | Throughput |     44.64 Kmsg/s |    158.08 Kmsg/s |  +254.17% |
| 65536B | Latency    |          2.23 ms |          0.63 ms |   +71.69% |
| 131072B | Throughput |     77.36 Kmsg/s |     64.73 Kmsg/s |   -16.33% |
| 131072B | Latency    |          1.29 ms |          1.54 ms |   -19.51% |
| 262144B | Throughput |     33.95 Kmsg/s |     29.27 Kmsg/s |   -13.77% |
| 262144B | Latency    |          2.94 ms |          3.40 ms |   -15.64% |

--- Pattern: router_router ---

## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    849.21 Kmsg/s |    908.00 Kmsg/s |    +6.92% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +6.53% |
| 256B   | Throughput |    803.61 Kmsg/s |    862.85 Kmsg/s |    +7.37% |
| 256B   | Latency    |          0.12 ms |          0.12 ms |    +6.92% |
| 1024B  | Throughput |    710.67 Kmsg/s |    828.72 Kmsg/s |   +16.61% |
| 1024B  | Latency    |          0.14 ms |          0.12 ms |   +14.28% |
| 65536B | Throughput |    148.89 Kmsg/s |    146.88 Kmsg/s |    -1.35% |
| 65536B | Latency    |          0.67 ms |          0.68 ms |    -1.35% |
| 131072B | Throughput |     70.55 Kmsg/s |     64.03 Kmsg/s |    -9.24% |
| 131072B | Latency    |          1.41 ms |          1.56 ms |   -10.35% |
| 262144B | Throughput |     27.17 Kmsg/s |     30.97 Kmsg/s |   +14.01% |
| 262144B | Latency    |          3.66 ms |          3.21 ms |   +12.25% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    838.75 Kmsg/s |    953.62 Kmsg/s |   +13.70% |
| 64B    | Latency    |          0.12 ms |          0.10 ms |   +12.11% |
| 256B   | Throughput |    846.45 Kmsg/s |    942.59 Kmsg/s |   +11.36% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |   +10.27% |
| 1024B  | Throughput |    820.74 Kmsg/s |    928.04 Kmsg/s |   +13.07% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +11.63% |
| 65536B | Throughput |    175.36 Kmsg/s |    159.32 Kmsg/s |    -9.15% |
| 65536B | Latency    |          0.57 ms |          0.63 ms |   -10.22% |
| 131072B | Throughput |     91.59 Kmsg/s |     66.17 Kmsg/s |   -27.75% |
| 131072B | Latency    |          1.09 ms |          1.51 ms |   -38.76% |
| 262144B | Throughput |     37.01 Kmsg/s |     30.22 Kmsg/s |   -18.35% |
| 262144B | Latency    |          2.70 ms |          3.30 ms |   -22.16% |

--- Pattern: pubsub ---

## PATTERN: MULTI_PUBSUB
  > Benchmarking libzmq for MULTI_PUBSUB...
  > Benchmarking zlink for MULTI_PUBSUB...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   6546.93 Kmsg/s |   6349.53 Kmsg/s |    -3.02% |
| 64B    | Latency    |       1365.28 ms |        645.92 ms |   +52.69% |
| 256B   | Throughput |   6013.72 Kmsg/s |   5974.67 Kmsg/s |    -0.65% |
| 256B   | Latency    |        606.54 ms |        700.09 ms |   -15.42% |
| 1024B  | Throughput |   3404.22 Kmsg/s |   4083.97 Kmsg/s |   +19.97% |
| 1024B  | Latency    |        344.91 ms |        336.16 ms |    +2.54% |
| 65536B | Throughput |    235.87 Kmsg/s |    186.04 Kmsg/s |   -21.13% |
| 65536B | Latency    |         63.11 ms |        127.82 ms |  -102.55% |
| 131072B | Throughput |    118.55 Kmsg/s |     82.05 Kmsg/s |   -30.79% |
| 131072B | Latency    |         90.14 ms |        206.45 ms |  -129.05% |
| 262144B | Throughput |     40.58 Kmsg/s |     40.46 Kmsg/s |    -0.30% |
| 262144B | Latency    |        226.29 ms |        254.34 ms |   -12.40% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   7421.30 Kmsg/s |   6255.65 Kmsg/s |   -15.71% |
| 64B    | Latency    |         15.41 ms |         14.99 ms |    +2.67% |
| 256B   | Throughput |   6461.01 Kmsg/s |   5927.04 Kmsg/s |    -8.26% |
| 256B   | Latency    |          5.56 ms |          7.68 ms |   -38.13% |
| 1024B  | Throughput |   3616.94 Kmsg/s |   3867.28 Kmsg/s |    +6.92% |
| 1024B  | Latency    |          5.25 ms |          6.66 ms |   -26.91% |
| 65536B | Throughput |    313.49 Kmsg/s |    322.21 Kmsg/s |    +2.78% |
| 65536B | Latency    |         23.80 ms |         23.40 ms |    +1.68% |
| 131072B | Throughput |    154.71 Kmsg/s |    159.50 Kmsg/s |    +3.09% |
| 131072B | Latency    |         48.44 ms |         47.18 ms |    +2.59% |
| 262144B | Throughput |     61.25 Kmsg/s |     56.20 Kmsg/s |    -8.25% |
| 262144B | Latency    |        121.92 ms |        133.77 ms |    -9.72% |

--- Pattern: stream ---

## PATTERN: MULTI_STREAM
  > Benchmarking libzmq for MULTI_STREAM...
  > Benchmarking zlink for MULTI_STREAM...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    394.92 Kmsg/s |    396.75 Kmsg/s |    +0.46% |
| 64B    | Latency    |         24.85 ms |         25.40 ms |    -2.20% |
| 256B   | Throughput |    396.65 Kmsg/s |    388.45 Kmsg/s |    -2.07% |
| 256B   | Latency    |         25.29 ms |         25.76 ms |    -1.88% |
| 1024B  | Throughput |    371.83 Kmsg/s |    370.59 Kmsg/s |    -0.33% |
| 1024B  | Latency    |         26.99 ms |         26.96 ms |    +0.13% |
| 65536B | Throughput |              N/A |     69.27 Kmsg/s |       N/A |
| 65536B | Latency    |              N/A |        141.95 ms |       N/A |
| 131072B | Throughput |              N/A |     35.20 Kmsg/s |       N/A |
| 131072B | Latency    |              N/A |        274.31 ms |       N/A |
| 262144B | Throughput |      7.94 Kmsg/s |     17.53 Kmsg/s |  +120.75% |
| 262144B | Latency    |       1199.44 ms |        532.35 ms |   +55.62% |

## Failures
- MULTI_STREAM libzmq tcp 65536B: no_data_rc_2
- MULTI_STREAM libzmq tcp 131072B: no_data_rc_2
