## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 262144B |     58.49 Kmsg/s |  15334.1 MB/s |     17.01 us |    18.00 us |    25.00 us |  4.9 |   98.7 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.89 Kmsg/s |      0.1 MB/s |   1122.83 us |  1158.00 us |  1212.56 us |  0.7 |   83.7 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1135.41 us |  1193.30 us |  1302.00 us |  0.7 |   85.1 |
| 1024B |      0.91 Kmsg/s |      0.9 MB/s |   1093.13 us |  1141.65 us |  1184.33 us |  0.6 |   86.2 |
| 65536B |      0.88 Kmsg/s |     57.9 MB/s |   1129.85 us |  1185.00 us |  1246.64 us |  0.8 |   85.8 |
| 131072B |      0.86 Kmsg/s |    113.0 MB/s |   1157.90 us |  1224.00 us |  1266.00 us |  0.9 |   86.4 |
| 262144B |      0.85 Kmsg/s |    222.9 MB/s |   1174.41 us |  1247.00 us |  1287.00 us |  1.1 |   86.9 |

===============================================================================

## PATTERN: ROUTER_ROUTER_POLL (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     23.00 Kmsg/s |      1.5 MB/s |     43.05 us |    57.00 us |    87.00 us |  3.2 |  124.9 |
| 256B |     21.03 Kmsg/s |      5.4 MB/s |     47.08 us |    70.00 us |   186.00 us |  3.1 |  114.2 |
| 1024B |     19.73 Kmsg/s |     20.2 MB/s |     50.17 us |    82.00 us |   202.00 us |  3.0 |  105.1 |
| 65536B |     11.54 Kmsg/s |    756.2 MB/s |     85.69 us |   161.00 us |   256.00 us |  3.7 |   93.7 |
| 131072B |     10.07 Kmsg/s |   1320.3 MB/s |     98.28 us |   204.00 us |   296.00 us |  3.8 |  100.0 |
| 262144B |      7.15 Kmsg/s |   1875.3 MB/s |    138.46 us |   270.00 us |   344.00 us |  4.1 |   93.5 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     21.62 Kmsg/s |      1.4 MB/s |     45.82 us |    61.00 us |   109.00 us |  3.4 |  122.3 |
| 256B |     20.33 Kmsg/s |      5.2 MB/s |     48.70 us |    67.00 us |   122.00 us |  3.5 |  116.4 |
| 1024B |     19.95 Kmsg/s |     20.4 MB/s |     49.64 us |    64.00 us |   102.00 us |  3.4 |  107.3 |
| 65536B |      9.82 Kmsg/s |    643.9 MB/s |    100.95 us |   141.00 us |   215.00 us |  4.2 |   95.3 |
| 131072B |      6.75 Kmsg/s |    885.3 MB/s |    147.06 us |   220.00 us |   283.00 us |  4.3 |   92.1 |
| 262144B |      4.04 Kmsg/s |   1058.3 MB/s |    246.35 us |   371.00 us |   437.00 us |  4.6 |   88.8 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     24.34 Kmsg/s |      1.6 MB/s |     40.72 us |    58.00 us |    82.00 us |  3.4 |  105.6 |
| 256B |     22.13 Kmsg/s |      5.7 MB/s |     44.71 us |    57.00 us |    84.00 us |  3.3 |  119.4 |
| 1024B |     21.56 Kmsg/s |     22.1 MB/s |     45.91 us |    59.00 us |    85.00 us |  3.4 |  116.6 |
| 65536B |     12.88 Kmsg/s |    843.8 MB/s |     76.85 us |   104.00 us |   168.00 us |  3.9 |   95.7 |
| 131072B |      9.55 Kmsg/s |   1251.6 MB/s |    103.78 us |   147.00 us |   237.00 us |  4.1 |   91.7 |
| 262144B |      6.99 Kmsg/s |   1832.0 MB/s |    142.03 us |   210.00 us |   324.00 us |  4.4 |   91.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     20.64 Kmsg/s |      1.3 MB/s |     47.98 us |    73.00 us |   112.00 us |  3.5 |  119.2 |
| 256B |     20.02 Kmsg/s |      5.1 MB/s |     49.46 us |    71.00 us |   164.00 us |  3.5 |  123.0 |
| 1024B |     24.46 Kmsg/s |     25.0 MB/s |     40.58 us |    71.00 us |   111.00 us |  3.7 |  110.8 |
| 65536B |      7.92 Kmsg/s |    519.0 MB/s |    125.31 us |   164.00 us |   242.00 us |  4.3 |   95.3 |
| 131072B |      5.53 Kmsg/s |    725.0 MB/s |    179.79 us |   265.00 us |   316.00 us |  4.6 |   92.1 |
| 262144B |      3.26 Kmsg/s |    853.6 MB/s |    305.75 us |   461.00 us |   513.00 us |  4.6 |   88.2 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |    955.77 Kmsg/s |     61.2 MB/s |      1.00 us |     1.00 us |     2.00 us | 13.1 |  908.3 |
| 256B |    968.60 Kmsg/s |    248.0 MB/s |      0.99 us |     1.00 us |     2.00 us | 12.7 | 1119.3 |
| 1024B |    900.86 Kmsg/s |    922.5 MB/s |      1.06 us |     2.00 us |     2.00 us | 13.8 | 1203.2 |
| 65536B |    172.99 Kmsg/s |  11337.1 MB/s |      5.72 us |     7.00 us |    11.00 us |  6.8 |  275.2 |
| 131072B |    110.28 Kmsg/s |  14454.8 MB/s |      9.00 us |    10.00 us |    15.00 us |  6.8 |  186.8 |
| 262144B |     58.54 Kmsg/s |  15346.4 MB/s |     16.99 us |    19.00 us |    26.00 us |  5.6 |  168.8 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     29.71 Kmsg/s |      1.9 MB/s |     33.36 us |    54.00 us |    89.00 us |  3.1 |  122.6 |
| 256B |     23.25 Kmsg/s |      6.0 MB/s |     42.54 us |    64.00 us |   120.00 us |  3.0 |  117.3 |
| 1024B |     23.60 Kmsg/s |     24.2 MB/s |     41.92 us |    58.00 us |   117.00 us |  3.1 |  120.4 |
| 65536B |     14.85 Kmsg/s |    973.3 MB/s |     66.66 us |   117.00 us |   208.41 us |  3.7 |   97.3 |
| 131072B |     10.88 Kmsg/s |   1426.4 MB/s |     90.97 us |   168.00 us |   258.00 us |  3.9 |   92.7 |
| 262144B |      8.64 Kmsg/s |   2266.0 MB/s |    114.57 us |   171.00 us |   304.00 us |  4.1 |   91.1 |

===============================================================================

## PATTERN: STREAM (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.75 Kmsg/s |      0.8 MB/s |     78.31 us |   106.00 us |   242.00 us |  0.8 |    9.2 |
| 256B |     13.42 Kmsg/s |      3.4 MB/s |     74.41 us |    98.00 us |   227.00 us |  0.8 |    9.1 |
| 1024B |     12.03 Kmsg/s |     12.3 MB/s |     83.03 us |   124.00 us |   254.00 us |  0.8 |    9.1 |
| 65536B |      8.87 Kmsg/s |    581.2 MB/s |    112.64 us |   143.00 us |   275.00 us |  1.1 |    8.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.98 Kmsg/s |      0.7 MB/s |     90.92 us |   129.00 us |   264.00 us |  1.0 |    9.5 |
| 256B |     11.13 Kmsg/s |      2.9 MB/s |     89.70 us |   118.00 us |   256.00 us |  1.0 |    9.5 |
| 1024B |     10.83 Kmsg/s |     11.1 MB/s |     92.19 us |   118.00 us |   267.00 us |  1.0 |    9.5 |
| 65536B |      7.12 Kmsg/s |    466.3 MB/s |    140.40 us |   207.00 us |   315.00 us |  2.4 |    9.5 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.50 Kmsg/s |      0.8 MB/s |     79.86 us |   108.00 us |   247.00 us |  0.9 |    9.1 |
| 256B |     12.67 Kmsg/s |      3.2 MB/s |     78.81 us |   118.00 us |   237.00 us |  0.9 |    9.5 |
| 1024B |     11.05 Kmsg/s |     11.3 MB/s |     90.31 us |   130.00 us |   215.00 us |  0.9 |    9.2 |
| 65536B |      0.93 Kmsg/s |     61.1 MB/s |   1071.88 us |  1500.00 us |  1601.74 us |  0.6 |    9.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      9.58 Kmsg/s |      0.6 MB/s |    104.27 us |   158.00 us |   223.00 us |  1.1 |    9.7 |
| 256B |      8.41 Kmsg/s |      2.2 MB/s |    118.76 us |   168.00 us |   218.00 us |  1.1 |    9.9 |
| 1024B |      8.37 Kmsg/s |      8.6 MB/s |    119.23 us |   165.00 us |   219.00 us |  1.2 |    9.7 |
| 65536B |      0.97 Kmsg/s |     63.8 MB/s |   1027.60 us |  1661.80 us |  2683.44 us |  1.0 |   10.2 |

===============================================================================

## PATTERN: STREAM_CALLBACK (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     11.18 Kmsg/s |      0.7 MB/s |     89.32 us |   137.00 us |   252.00 us |  0.8 |    9.2 |
| 256B |     11.43 Kmsg/s |      2.9 MB/s |     87.35 us |   129.00 us |   257.00 us |  0.8 |    8.9 |
| 1024B |     11.55 Kmsg/s |     11.8 MB/s |     86.45 us |   127.00 us |   213.00 us |  0.9 |    9.1 |
| 65536B |      8.53 Kmsg/s |    558.8 MB/s |    117.15 us |   166.00 us |   247.00 us |  1.2 |    9.2 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.10 Kmsg/s |      0.6 MB/s |     98.90 us |   130.00 us |   275.00 us |  1.1 |    9.6 |
| 256B |     11.64 Kmsg/s |      3.0 MB/s |     85.80 us |   128.00 us |   264.00 us |  1.1 |    9.8 |
| 1024B |     12.79 Kmsg/s |     13.1 MB/s |     78.08 us |   118.00 us |   258.00 us |  1.1 |    9.5 |
| 65536B |      7.32 Kmsg/s |    479.9 MB/s |    136.43 us |   249.00 us |   347.00 us |  2.5 |    9.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     13.33 Kmsg/s |      0.9 MB/s |     74.93 us |   121.15 us |   265.00 us |  0.9 |    9.1 |
| 256B |     10.67 Kmsg/s |      2.7 MB/s |     93.57 us |   157.00 us |   286.00 us |  0.9 |    9.2 |
| 1024B |     11.33 Kmsg/s |     11.6 MB/s |     88.08 us |   127.00 us |   212.00 us |  0.9 |    9.1 |
| 65536B |      0.96 Kmsg/s |     63.1 MB/s |   1039.23 us |  1510.00 us |  1683.60 us |  0.6 |    9.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      8.58 Kmsg/s |      0.5 MB/s |    116.33 us |   172.00 us |   252.00 us |  1.1 |    9.7 |
| 256B |      9.17 Kmsg/s |      2.3 MB/s |    108.84 us |   171.00 us |   272.00 us |  1.1 |    9.8 |
| 1024B |      8.75 Kmsg/s |      9.0 MB/s |    114.11 us |   173.00 us |   251.00 us |  1.2 |    9.8 |
| 65536B |      1.10 Kmsg/s |     72.1 MB/s |    909.32 us |  1553.20 us |  2486.04 us |  1.0 |   10.2 |

===============================================================================

## PATTERN: STREAM_LEN32BE (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.77 Kmsg/s |      0.7 MB/s |     92.76 us |   140.00 us |   246.00 us |  0.8 |    9.1 |
| 256B |     10.61 Kmsg/s |      2.7 MB/s |     94.11 us |   177.00 us |   452.00 us |  0.8 |    8.8 |
| 1024B |     11.57 Kmsg/s |     11.9 MB/s |     86.28 us |   135.00 us |   235.38 us |  0.8 |    9.1 |
| 65536B |      8.46 Kmsg/s |    554.7 MB/s |    118.04 us |   204.00 us |   293.00 us |  1.2 |    9.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.16 Kmsg/s |      0.7 MB/s |     98.32 us |   144.00 us |   267.00 us |  0.9 |    9.5 |
| 256B |      9.86 Kmsg/s |      2.5 MB/s |    101.24 us |   153.00 us |   276.00 us |  1.0 |    9.5 |
| 1024B |     10.02 Kmsg/s |     10.3 MB/s |     99.71 us |   145.00 us |   271.00 us |  1.0 |    9.5 |
| 65536B |      6.98 Kmsg/s |    457.5 MB/s |    143.07 us |   211.00 us |   315.00 us |  2.4 |    9.4 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.05 Kmsg/s |      0.6 MB/s |     99.38 us |   151.00 us |   279.00 us |  0.8 |    9.1 |
| 256B |     10.13 Kmsg/s |      2.6 MB/s |     98.56 us |   150.00 us |   280.00 us |  0.8 |    9.2 |
| 1024B |      9.83 Kmsg/s |     10.1 MB/s |    101.52 us |   176.00 us |   301.00 us |  0.9 |    9.2 |
| 65536B |      0.97 Kmsg/s |     63.6 MB/s |   1029.58 us |  1468.00 us |  1590.46 us |  0.6 |    9.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.74 Kmsg/s |      0.7 MB/s |     93.00 us |   117.00 us |   201.00 us |  1.1 |   10.2 |
| 256B |     10.31 Kmsg/s |      2.6 MB/s |     96.84 us |   130.00 us |   236.00 us |  1.1 |    9.8 |
| 1024B |     10.02 Kmsg/s |     10.3 MB/s |     99.62 us |   142.00 us |   270.00 us |  1.1 |   10.0 |
| 65536B |      1.17 Kmsg/s |     77.0 MB/s |    851.58 us |  1502.50 us |  2419.60 us |  1.0 |   10.0 |

===============================================================================

## PATTERN: GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1135.63 us |  1199.00 us |  1308.10 us |  1.0 |   91.2 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1140.02 us |  1192.00 us |  1306.00 us |  1.0 |   90.6 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1138.99 us |  1186.00 us |  1285.18 us |  1.0 |   91.0 |
| 65536B |      0.87 Kmsg/s |     57.1 MB/s |   1146.12 us |  1211.00 us |  1299.90 us |  1.1 |   89.8 |
| 131072B |      0.88 Kmsg/s |    115.4 MB/s |   1134.42 us |  1225.00 us |  1284.00 us |  1.2 |   91.8 |
| 262144B |      0.86 Kmsg/s |    225.2 MB/s |   1162.17 us |  1242.25 us |  1299.10 us |  1.3 |   89.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1134.48 us |  1181.00 us |  1264.00 us |  1.0 |   93.7 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1137.79 us |  1181.00 us |  1233.00 us |  1.0 |   94.7 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1134.47 us |  1170.00 us |  1210.00 us |  1.0 |   92.9 |
| 65536B |      0.88 Kmsg/s |     57.4 MB/s |   1139.33 us |  1201.00 us |  1263.80 us |  1.3 |   94.1 |
| 131072B |      0.86 Kmsg/s |    112.7 MB/s |   1160.30 us |  1225.00 us |  1288.06 us |  1.6 |   94.2 |
| 262144B |      0.84 Kmsg/s |    220.1 MB/s |   1188.42 us |  1269.00 us |  1341.03 us |  2.0 |   96.5 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1150.96 us |  1199.30 us |  1261.66 us |  1.1 |   89.9 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1163.46 us |  1238.65 us |  1296.13 us |  1.2 |   91.3 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1146.00 us |  1210.00 us |  1279.00 us |  1.2 |   89.6 |
| 65536B |      0.84 Kmsg/s |     55.3 MB/s |   1181.67 us |  1235.00 us |  1318.78 us |  1.3 |   92.3 |
| 131072B |      0.86 Kmsg/s |    112.4 MB/s |   1164.46 us |  1238.00 us |  1297.28 us |  1.3 |   90.6 |
| 262144B |      0.85 Kmsg/s |    221.9 MB/s |   1179.45 us |  1252.00 us |  1347.00 us |  1.4 |   92.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1149.30 us |  1199.00 us |  1307.14 us |  1.0 |   94.5 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1136.84 us |  1176.50 us |  1276.50 us |  1.0 |   94.7 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1107.84 us |  1164.00 us |  1243.82 us |  1.0 |   94.1 |
| 65536B |      0.88 Kmsg/s |     57.8 MB/s |   1132.54 us |  1184.00 us |  1287.86 us |  1.3 |   95.1 |
| 131072B |      0.87 Kmsg/s |    114.3 MB/s |   1144.62 us |  1181.00 us |  1286.39 us |  1.5 |   96.6 |
| 262144B |      0.85 Kmsg/s |    222.8 MB/s |   1174.28 us |  1231.00 us |  1324.51 us |  2.0 |   96.7 |

===============================================================================

## PATTERN: SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.86 Kmsg/s |      0.1 MB/s |   1167.24 us |  1221.20 us |  2247.24 us |  1.0 |   90.6 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1164.11 us |  1257.65 us |  2228.00 us |  1.0 |   90.6 |
| 1024B |      0.86 Kmsg/s |      0.9 MB/s |   1162.46 us |  1264.00 us |  2240.07 us |  0.9 |   89.9 |
| 65536B |      0.84 Kmsg/s |     54.8 MB/s |   1194.85 us |  1324.15 us |  2277.46 us |  1.1 |   90.1 |
| 131072B |      0.82 Kmsg/s |    108.1 MB/s |   1210.87 us |  1367.90 us |  2301.56 us |  1.1 |   91.5 |
| 262144B |      0.80 Kmsg/s |    210.7 MB/s |   1242.11 us |  2251.00 us |  2316.62 us |  1.2 |   92.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.85 Kmsg/s |      0.1 MB/s |   1171.56 us |  1292.00 us |  2259.00 us |  1.0 |   95.0 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1161.00 us |  1258.05 us |  2223.01 us |  1.0 |   94.5 |
| 1024B |      0.83 Kmsg/s |      0.8 MB/s |   1204.89 us |  1328.00 us |  2324.00 us |  1.2 |   94.2 |
| 65536B |      0.80 Kmsg/s |     52.4 MB/s |   1248.91 us |  2241.00 us |  2357.08 us |  1.4 |   94.1 |
| 131072B |      0.75 Kmsg/s |     98.4 MB/s |   1328.51 us |  2358.00 us |  2515.46 us |  1.7 |   93.7 |
| 262144B |      0.71 Kmsg/s |    185.6 MB/s |   1409.01 us |  2416.05 us |  2537.22 us |  2.0 |   93.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.80 Kmsg/s |      0.1 MB/s |   1240.55 us |  1792.10 us |  2510.82 us |  1.3 |   91.0 |
| 256B |      0.81 Kmsg/s |      0.2 MB/s |   1225.82 us |  1362.00 us |  2385.33 us |  1.2 |   90.9 |
| 1024B |      0.76 Kmsg/s |      0.8 MB/s |   1303.52 us |  2240.80 us |  3625.14 us |  1.2 |   91.7 |
| 65536B |      0.80 Kmsg/s |     52.4 MB/s |   1247.58 us |  2247.00 us |  2327.00 us |  1.3 |   89.4 |
| 131072B |      0.78 Kmsg/s |    102.2 MB/s |   1279.83 us |  2279.00 us |  2411.06 us |  1.4 |   89.3 |
| 262144B |      0.72 Kmsg/s |    189.1 MB/s |   1383.53 us |  2341.00 us |  3471.22 us |  1.6 |   90.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.85 Kmsg/s |      0.1 MB/s |   1168.87 us |  1244.45 us |  2249.00 us |  1.3 |   94.6 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1158.78 us |  1183.00 us |  2235.00 us |  0.9 |   96.6 |
| 1024B |      0.84 Kmsg/s |      0.9 MB/s |   1190.77 us |  1296.40 us |  2272.00 us |  1.0 |   94.1 |
| 65536B |      0.81 Kmsg/s |     52.9 MB/s |   1237.06 us |  2237.20 us |  2306.00 us |  1.3 |   93.8 |
| 131072B |      0.80 Kmsg/s |    104.2 MB/s |   1255.48 us |  2215.20 us |  2336.72 us |  1.4 |   95.0 |
| 262144B |      0.73 Kmsg/s |    191.4 MB/s |   1367.20 us |  2282.00 us |  2396.45 us |  1.8 |   97.1 |
