## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 64B |    459.87 Kmsg/s |     29.4 MB/s |      0.86 us |     1.00 us |     2.00 us |  8.0 |  499.0 |
| 256B |    436.70 Kmsg/s |    111.8 MB/s |      0.85 us |     1.00 us |     2.00 us |  4.6 |  511.3 |
| 1024B |    474.42 Kmsg/s |    485.8 MB/s |      0.92 us |     1.00 us |     3.00 us |  5.6 |  533.9 |
| 65536B |    186.95 Kmsg/s |  12251.7 MB/s |      5.29 us |     6.00 us |     8.00 us |  7.0 |  255.6 |
| 131072B |     92.52 Kmsg/s |  12127.2 MB/s |     10.73 us |    12.00 us |    25.00 us |  5.7 |  174.8 |
| 262144B |     54.28 Kmsg/s |  14230.4 MB/s |     18.33 us |    21.00 us |    36.00 us |  4.9 |  131.9 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     25.73 Kmsg/s |      1.6 MB/s |     38.52 us |    68.00 us |   105.00 us |  3.4 |  150.4 |
| 256B |     20.14 Kmsg/s |      5.2 MB/s |     49.06 us |    71.00 us |    81.00 us |  3.3 |  110.6 |
| 1024B |     24.48 Kmsg/s |     25.1 MB/s |     40.42 us |    67.00 us |   135.00 us |  3.1 |  113.1 |
| 65536B |     13.63 Kmsg/s |    893.3 MB/s |     72.48 us |   110.00 us |   184.00 us |  3.6 |   97.1 |
| 131072B |     10.29 Kmsg/s |   1348.4 MB/s |     96.08 us |   127.00 us |   145.00 us |  4.0 |   94.7 |
| 262144B |      9.03 Kmsg/s |   2366.3 MB/s |    109.82 us |   183.00 us |   291.00 us |  4.1 |   92.3 |

===============================================================================

## PATTERN: DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1142.74 us |  1187.55 us |  1303.00 us |  0.6 |   84.2 |
| 256B |      0.87 Kmsg/s |      0.2 MB/s |   1143.93 us |  1189.00 us |  1288.08 us |  0.7 |   86.0 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1145.28 us |  1192.05 us |  1286.41 us |  0.7 |   84.9 |
| 65536B |      0.86 Kmsg/s |     56.4 MB/s |   1159.85 us |  1243.00 us |  1333.00 us |  0.8 |   85.6 |
| 131072B |      0.86 Kmsg/s |    112.2 MB/s |   1166.76 us |  1235.00 us |  1273.40 us |  0.9 |   85.6 |
| 262144B |      0.83 Kmsg/s |    218.1 MB/s |   1199.42 us |  1330.00 us |  1390.40 us |  1.0 |   87.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1144.59 us |  1199.00 us |  1316.38 us |  0.8 |   89.5 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1166.43 us |  1283.20 us |  1352.00 us |  0.7 |   88.8 |
| 1024B |      0.86 Kmsg/s |      0.9 MB/s |   1160.26 us |  1242.00 us |  1333.00 us |  0.8 |   90.4 |
| 65536B |      0.86 Kmsg/s |     56.0 MB/s |   1167.31 us |  1224.20 us |  1328.24 us |  1.0 |   89.0 |
| 131072B |      0.83 Kmsg/s |    109.1 MB/s |   1198.87 us |  1308.00 us |  1379.00 us |  1.3 |   89.7 |
| 262144B |      0.83 Kmsg/s |    218.1 MB/s |   1200.49 us |  1286.00 us |  1337.40 us |  1.6 |   90.1 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.85 Kmsg/s |      0.1 MB/s |   1170.98 us |  1294.00 us |  1360.00 us |  0.8 |   85.5 |
| 256B |      0.87 Kmsg/s |      0.2 MB/s |   1150.00 us |  1208.00 us |  1297.60 us |  0.8 |   85.7 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1144.49 us |  1209.00 us |  1326.52 us |  0.7 |   86.1 |
| 65536B |      0.85 Kmsg/s |     55.9 MB/s |   1171.31 us |  1239.90 us |  1310.00 us |  0.9 |   85.1 |
| 131072B |      0.84 Kmsg/s |    110.5 MB/s |   1184.18 us |  1271.00 us |  1314.00 us |  1.1 |   86.3 |
| 262144B |      0.83 Kmsg/s |    218.0 MB/s |   1200.63 us |  1309.00 us |  1378.86 us |  1.1 |   87.1 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1137.65 us |  1182.00 us |  1272.11 us |  0.8 |   90.6 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1163.63 us |  1303.00 us |  1362.00 us |  0.7 |   89.7 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1147.71 us |  1238.00 us |  1332.51 us |  0.8 |   89.3 |
| 65536B |      0.85 Kmsg/s |     55.7 MB/s |   1174.29 us |  1248.00 us |  1343.00 us |  1.1 |   91.7 |
| 131072B |      0.81 Kmsg/s |    106.3 MB/s |   1227.80 us |  1325.00 us |  1426.20 us |  1.7 |   88.6 |
| 262144B |      0.82 Kmsg/s |    213.8 MB/s |   1223.96 us |  1318.10 us |  1363.44 us |  2.1 |   90.8 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1332.15 Kmsg/s |     85.3 MB/s |      0.71 us |     1.00 us |     1.00 us |  1.7 |   89.5 |
| 256B |   1321.58 Kmsg/s |    338.3 MB/s |      0.72 us |     1.00 us |     1.00 us |  1.7 |   86.7 |
| 1024B |   1270.17 Kmsg/s |   1300.6 MB/s |      0.75 us |     1.00 us |     1.00 us |  1.8 |   88.1 |
| 65536B |    215.13 Kmsg/s |  14098.8 MB/s |      4.59 us |     5.00 us |     7.00 us |  4.8 |   80.7 |
| 131072B |    125.72 Kmsg/s |  16478.6 MB/s |      7.88 us |     9.00 us |    13.00 us |  4.9 |   80.2 |
| 262144B |     52.75 Kmsg/s |  13829.2 MB/s |     18.87 us |    20.00 us |    27.00 us |  4.8 |   86.9 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.84 Kmsg/s |      0.1 MB/s |   1181.59 us |  1244.15 us |  1342.83 us |  0.8 |   85.6 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1136.87 us |  1180.00 us |  1218.00 us |  0.8 |   84.8 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1145.97 us |  1200.00 us |  1319.90 us |  0.6 |   84.8 |
| 65536B |      0.84 Kmsg/s |     54.8 MB/s |   1192.98 us |  1336.95 us |  1419.19 us |  1.0 |   85.7 |
| 131072B |      0.85 Kmsg/s |    111.2 MB/s |   1177.60 us |  1259.00 us |  1317.00 us |  0.9 |   86.0 |
| 262144B |      0.81 Kmsg/s |    213.6 MB/s |   1225.75 us |  1317.00 us |  1362.54 us |  1.1 |   87.7 |

===============================================================================

## PATTERN: DEALER_ROUTER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1143.13 us |  1181.00 us |  1211.32 us |  0.7 |   84.8 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1134.15 us |  1179.85 us |  1251.85 us |  0.6 |   84.8 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1134.01 us |  1175.85 us |  1264.00 us |  0.6 |   86.1 |
| 65536B |      0.87 Kmsg/s |     56.7 MB/s |   1154.62 us |  1204.00 us |  1244.75 us |  0.8 |   86.4 |
| 131072B |      0.85 Kmsg/s |    111.2 MB/s |   1177.72 us |  1248.00 us |  1296.80 us |  0.9 |   85.3 |
| 262144B |      0.83 Kmsg/s |    217.0 MB/s |   1206.41 us |  1297.00 us |  1374.61 us |  1.1 |   85.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1134.14 us |  1171.00 us |  1212.00 us |  0.7 |   88.5 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1134.21 us |  1169.00 us |  1233.94 us |  0.7 |   89.3 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1134.29 us |  1172.00 us |  1251.98 us |  0.7 |   89.4 |
| 65536B |      0.84 Kmsg/s |     55.3 MB/s |   1182.78 us |  1251.00 us |  1360.64 us |  1.1 |   87.9 |
| 131072B |      0.82 Kmsg/s |    106.9 MB/s |   1223.19 us |  1364.20 us |  1451.72 us |  1.5 |   88.4 |
| 262144B |      0.79 Kmsg/s |    207.2 MB/s |   1260.78 us |  1396.00 us |  1497.96 us |  1.9 |   89.5 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.82 Kmsg/s |      0.1 MB/s |   1208.07 us |  1291.00 us |  1350.00 us |  1.2 |   85.3 |
| 256B |      0.83 Kmsg/s |      0.2 MB/s |   1206.23 us |  1270.00 us |  1326.00 us |  1.1 |   84.9 |
| 1024B |      0.82 Kmsg/s |      0.8 MB/s |   1213.41 us |  1357.00 us |  1427.96 us |  0.9 |   83.7 |
| 65536B |      0.85 Kmsg/s |     55.9 MB/s |   1169.78 us |  1233.00 us |  1279.32 us |  1.0 |   85.7 |
| 131072B |      0.85 Kmsg/s |    111.3 MB/s |   1176.24 us |  1251.00 us |  1294.54 us |  1.0 |   87.4 |
| 262144B |      0.83 Kmsg/s |    216.6 MB/s |   1208.52 us |  1296.00 us |  1335.00 us |  1.2 |   87.7 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.86 Kmsg/s |      0.1 MB/s |   1160.61 us |  1228.10 us |  1360.00 us |  0.8 |   90.5 |
| 256B |      0.87 Kmsg/s |      0.2 MB/s |   1141.72 us |  1209.40 us |  1305.12 us |  0.9 |   90.3 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1137.51 us |  1177.00 us |  1232.00 us |  0.7 |   89.8 |
| 65536B |      0.85 Kmsg/s |     56.0 MB/s |   1169.68 us |  1232.00 us |  1273.31 us |  1.2 |   88.3 |
| 131072B |      0.84 Kmsg/s |    110.0 MB/s |   1190.21 us |  1259.00 us |  1294.20 us |  1.5 |   92.3 |
| 262144B |      0.80 Kmsg/s |    210.2 MB/s |   1243.48 us |  1340.00 us |  1399.92 us |  1.9 |   90.4 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1238.21 Kmsg/s |     79.2 MB/s |      0.77 us |     1.00 us |     1.00 us |  2.0 |   96.3 |
| 256B |   1262.94 Kmsg/s |    323.3 MB/s |      0.75 us |     1.00 us |     1.00 us |  1.9 |   91.2 |
| 1024B |   1189.16 Kmsg/s |   1217.7 MB/s |      0.80 us |     1.00 us |     1.00 us |  2.0 |   91.2 |
| 65536B |    217.19 Kmsg/s |  14233.7 MB/s |      4.56 us |     5.00 us |     6.00 us |  4.8 |   79.1 |
| 131072B |    134.31 Kmsg/s |  17604.4 MB/s |      7.39 us |     8.00 us |     9.00 us |  4.8 |   79.3 |
| 262144B |     59.06 Kmsg/s |  15482.5 MB/s |     16.86 us |    18.00 us |    23.00 us |  4.8 |   80.0 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
