## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.80 Kops/s |      0.1 MB/s |   1241.12 us |  2261.00 us |  2309.00 us |    0.6 |     28.6 |    0.6 |     27.3 |
| 256B |      0.77 Kops/s |      0.4 MB/s |   1291.40 us |  2277.00 us |  2420.00 us |    0.6 |     28.6 |    0.6 |     28.6 |
| 1024B |      0.81 Kops/s |      1.7 MB/s |   1228.94 us |  2253.95 us |  2295.17 us |    0.6 |     28.6 |    0.6 |     27.3 |
| 65536B |      0.78 Kops/s |    102.6 MB/s |   1274.97 us |  2296.00 us |  2371.00 us |    0.8 |     28.6 |    0.8 |     28.6 |
| 131072B |      0.74 Kops/s |    193.3 MB/s |   1353.41 us |  2334.00 us |  2411.00 us |    0.9 |     28.6 |    0.9 |     28.6 |
| 262144B |      0.65 Kops/s |    338.5 MB/s |   1544.42 us |  2410.00 us |  2506.04 us |    1.0 |     28.6 |    1.0 |     27.3 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.79 Kops/s |      0.1 MB/s |   1262.69 us |  2266.00 us |  2298.00 us |    0.6 |     28.6 |    0.6 |     28.6 |
| 256B |      0.79 Kops/s |      0.4 MB/s |   1256.95 us |  2264.00 us |  2301.00 us |    0.6 |     29.8 |    0.6 |     27.3 |
| 1024B |      0.79 Kops/s |      1.6 MB/s |   1267.69 us |  2253.00 us |  2282.56 us |    0.6 |     28.6 |    0.6 |     28.6 |
| 65536B |      0.75 Kops/s |     98.9 MB/s |   1322.00 us |  2293.35 us |  2330.00 us |    0.8 |     28.6 |    0.9 |     27.3 |
| 131072B |      0.68 Kops/s |    179.0 MB/s |   1461.42 us |  2366.30 us |  2460.00 us |    1.1 |     28.6 |    1.1 |     28.6 |
| 262144B |      0.63 Kops/s |    328.6 MB/s |   1592.52 us |  2371.00 us |  2409.67 us |    1.3 |     28.6 |    1.3 |     28.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.78 Kops/s |      0.1 MB/s |   1271.93 us |  2291.00 us |  2407.00 us |    0.7 |     28.6 |    0.7 |     28.6 |
| 256B |      0.82 Kops/s |      0.4 MB/s |   1216.81 us |  2247.00 us |  2288.00 us |    0.7 |     28.6 |    0.6 |     27.3 |
